iter,move,obj,temp,accepted,detail,elapsed
0,init,102.54661731489486,1.0,1,,0.06403379992116243
1,swap,102.54661731489486,1.0,0,revert 32->35,0.08253909996710718
2,swap,102.54661731489486,1.0,0,revert 6->30,0.10093469999264926
3,swap,102.54661731489486,1.0,0,revert 32->8,0.11951119999866933
4,swap,102.54661731489486,1.0,0,revert 32->37,0.1432133000344038
5,swap,102.54661731489486,1.0,0,revert 7->20,0.16172949993051589
6,swap,102.54661731489486,1.0,0,revert 32->22,0.18367279996164143
7,swap,102.54661731489486,1.0,0,revert 7->5,0.21449449995998293
8,swap,102.54661731489486,1.0,0,revert 12->35,0.2434522999683395
9,swap,102.54661731489486,1.0,0,revert 12->37,0.26812719996087253
10,swap,102.54661731489486,1.0,0,revert 32->35,0.2868077999446541
11,swap,102.54661731489486,1.0,0,revert 6->13,0.30984659993555397
12,swap,102.54661731489486,1.0,0,revert 6->34,0.3293050000211224
13,swap,102.54661731489486,1.0,0,revert 12->22,0.35584360000211746
14,swap,102.54661731489486,1.0,0,revert 32->13,0.3726228999439627
15,swap,102.54661731489486,1.0,0,revert 7->26,0.39170369994826615
16,swap,102.54661731489486,1.0,0,revert 32->9,0.41077419999055564
17,swap,102.54661731489486,1.0,0,revert 7->33,0.42875800002366304
18,swap,102.54661731489486,1.0,0,revert 28->18,0.4509470999473706
19,swap,102.54661731489486,1.0,0,revert 6->35,0.48095559992361814
20,swap,102.54661731489486,1.0,0,revert 28->0,0.5003670000005513
21,swap,102.54661731489486,0.95,0,revert 7->37,0.525571099948138
22,swap,102.54661731489486,0.95,0,revert 6->20,0.5486625999910757
23,swap,102.54661731489486,0.95,0,revert 6->29,0.5751722999848425
24,swap,102.54661731489486,0.95,0,revert 12->39,0.5975267000030726
25,swap,102.54661731489486,0.95,0,revert 28->11,0.6189568999689072
26,swap,102.49829447903736,0.95,1,12->8,0.6349910999415442
27,swap,102.49829447903736,0.95,0,revert 7->35,0.6584554000291973
28,swap,102.49829447903736,0.95,0,revert 8->2,0.6783661999506876
29,swap,102.49829447903736,0.95,0,revert 6->12,0.6964111999841407
30,swap,102.49829447903736,0.95,0,revert 7->39,0.7165988000342622
