iter,move,obj,temp,accepted,detail,elapsed
0,init,31.046019909269127,,1,greedy_start,0.0006690000009257346
0,init,31.046019909269127,,1,initial,0.001480300008552149
1,open_close,36.39907054785625,,1,3->13,0.0022552000009454787
2,open_close,46.57399753217429,,1,16->14,0.0030473000078927726
3,open_close,46.62120004492524,,1,14->12,0.01870670000789687
4,open_close,47.01379875102844,,1,8->17,0.019623500003945082
5,open_close,48.07049341778207,,1,17->7,0.04454440000699833
6,open_close,48.5692454083112,,1,9->5,0.09089150000363588
7,open_close,50.14241237663492,,1,12->18,0.09182810000493191
8,open_close,50.25884929880889,,1,7->8,0.10319850000087172
9,open_close,51.34935979525138,,1,8->19,0.1838655000028666
