iter,move,obj,temp,accepted,detail,elapsed
0,init,31.948596880825225,,1,greedy_start,0.0005040999967604876
0,init,31.948596880825225,,1,initial,0.0015850999916438013
1,open_close,36.143567654372816,,1,8->18,0.00228320001042448
2,open_close,42.27033176271824,,1,3->13,0.002966800006106496
3,open_close,43.58423762511379,,1,16->10,0.0036324000102467835
4,open_close,43.80371082744017,,1,18->19,0.00933410000288859
5,open_close,47.28634424184292,,1,10->0,0.01019349999842234
6,open_close,48.69337500353572,,1,13->18,0.012331800011452287
7,open_close,48.781728928776694,,1,19->7,0.02194969999254681
8,open_close,52.023757403664916,,1,0->10,0.0515847000060603
