iter,move,obj,temp,accepted,detail,elapsed
0,init,47.561272344817105,1.0,1,,0.007417700020596385
1,swap,47.561272344817105,1.0,0,revert 16->11,0.009433900006115437
2,swap,47.561272344817105,1.0,0,revert 16->15,0.01128959993366152
3,swap,47.561272344817105,1.0,0,revert 6->0,0.013112999964505434
4,swap,47.561272344817105,1.0,0,revert 17->9,0.015993300010450184
5,swap,47.55794341190118,1.0,1,12->19,0.017863699933514
6,swap,47.55794341190118,1.0,0,revert 17->13,0.0204442999092862
7,swap,47.55794341190118,1.0,0,revert 16->7,0.022297499934211373
8,swap,47.55794341190118,1.0,0,revert 6->11,0.02411739993840456
9,swap,47.55794341190118,1.0,0,revert 6->18,0.02594439999666065
10,swap,47.55794341190118,1.0,0,revert 19->2,0.027766000013798475
11,swap,47.55794341190118,1.0,0,revert 17->18,0.02957849996164441
12,swap,47.55794341190118,1.0,0,revert 6->3,0.03191709995735437
13,swap,47.55794341190118,1.0,0,revert 6->15,0.03416249994188547
14,swap,47.55794341190118,1.0,0,revert 16->4,0.03601009992416948
15,swap,47.55794341190118,1.0,0,revert 6->1,0.03784329991322011
16,swap,47.55794341190118,1.0,0,revert 16->1,0.03971549996640533
17,swap,47.560863820159945,1.0,1,17->12,0.040848699980415404
18,swap,47.560863820159945,1.0,0,revert 19->2,0.04270099999848753
19,swap,47.560863820159945,1.0,0,revert 12->10,0.04453149996697903
20,swap,47.560863820159945,1.0,0,revert 16->13,0.04634859994985163
21,swap,47.55790649910309,0.95,1,12->1,0.0478556000161916
22,swap,47.55790649910309,0.95,0,revert 16->12,0.05027190002147108
23,swap,47.55790649910309,0.95,0,revert 6->17,0.052129399962723255
24,swap,47.55790649910309,0.95,0,revert 1->7,0.05398510000668466
25,swap,47.55790649910309,0.95,0,revert 6->8,0.05648009991273284
26,swap,47.55738220046053,0.95,1,16->18,0.05847119993995875
27,swap,47.55738220046053,0.95,0,revert 18->0,0.061921400018036366
28,swap,47.55738220046053,0.95,0,revert 1->10,0.0660422999644652
29,swap,47.55738220046053,0.95,0,revert 19->10,0.06798279995564371
30,swap,47.55723072839243,0.95,1,18->8,0.06913189997430891
31,swap,47.560128734275054,0.95,1,1->12,0.07027809997089207
32,swap,47.560128734275054,0.95,0,revert 6->14,0.07219460001215339
33,swap,47.560128734275054,0.95,0,revert 19->7,0.0740413999883458
