iter,move,obj,temp,accepted,detail,elapsed
0,init,46.11432513004862,,1,greedy_start,0.0006047000060789287
0,init,46.11432513004862,,1,initial,0.0016257999814115465
1,open_close,47.953640211613006,,1,6->13,0.004729000007500872
2,open_close,48.93773107809091,,1,13->12,0.006615699996473268
3,open_close,50.1171478245227,,1,16->9,0.07023849998950027
4,open_close,50.92258627686061,,1,9->13,0.12814519999665208
5,open_close,52.48401468484172,,1,0->18,0.13233809999655932
6,open_close,53.81022515429577,,1,18->14,0.1331233999808319
7,open_close,55.343494174008896,,1,7->19,0.16698340000584722
