site,x_exact,x_best,diff_best_minus_exact
3,1,0,-1
9,1,0,-1
13,0,1,1
15,0,1,1
20,0,1,1
21,0,2,2
24,0,1,1
25,0,1,1
27,1,0,-1
29,0,1,1
32,1,1,0
34,1,0,-1
37,0,1,1
40,0,2,2
41,1,0,-1
43,0,1,1
45,1,0,-1
55,1,0,-1
59,0,1,1
62,0,1,1
66,0,1,1
67,1,0,-1
68,0,2,2
70,0,1,1
71,1,0,-1
73,0,1,1
76,0,1,1
78,1,0,-1
