site,x_exact,x_best,diff_best_minus_exact
9,1,0,-1
13,1,1,0
18,1,1,0
34,0,1,1
36,0,1,1
44,1,1,0
54,1,1,0
67,1,1,0
85,1,1,0
100,1,1,0
115,1,1,0
117,1,1,0
144,1,1,0
