City_Name,K_Resolution,Centroid_Longitude,Centroid_Latitude,Aggregated_Population,Population_Center_ID
Castellammare di Stabia,150,14.480152051145085,40.728961010210185,613.5241394042969,607
Castellammare di Stabia,150,14.522756526742915,40.693636996746044,961.8580055236816,607
Castellammare di Stabia,150,14.49241081023193,40.700744574137325,662.8465461730957,607
Castellammare di Stabia,150,14.490376817841536,40.688634605924186,422.47129249572754,607
Castellammare di Stabia,150,14.509442223076782,40.69222229165178,511.94152450561523,607
Castellammare di Stabia,150,14.477365350726158,40.69144697344088,474.7446537017822,607
Castellammare di Stabia,150,14.510184322216247,40.71982921723407,309.908842086792,607
Castellammare di Stabia,150,14.503744631661899,40.70602157303666,645.720874786377,607
Castellammare di Stabia,150,14.491504064792789,40.71299225929006,898.0446510314941,607
Castellammare di Stabia,150,14.498749883910424,40.69622911266124,717.7640686035156,607
Castellammare di Stabia,150,14.515045553216906,40.709438726577886,266.26663970947266,607
Castellammare di Stabia,150,14.483796591058361,40.68878598556171,614.4061393737793,607
Castellammare di Stabia,150,14.486145831626601,40.701454145633676,860.1294021606445,607
Castellammare di Stabia,150,14.489812559043985,40.695124218807294,491.62328338623047,607
Castellammare di Stabia,150,14.48967476151005,40.705394234856286,877.2829284667969,607
Castellammare di Stabia,150,14.48235863678707,40.69721350654726,595.6385803222656,607
Castellammare di Stabia,150,14.483378970738698,40.71214701757818,725.4930305480957,607
Castellammare di Stabia,150,14.498423742934378,40.705054195058565,548.8153324127197,607
Castellammare di Stabia,150,14.51807475596719,40.70208898100596,290.1956214904785,607
Castellammare di Stabia,150,14.496529876552342,40.71008967387079,622.2873306274414,607
Castellammare di Stabia,150,14.520198063438285,40.69171322551417,790.044885635376,607
Castellammare di Stabia,150,14.489934744039525,40.719832151656284,569.8837757110596,607
Castellammare di Stabia,150,14.497125799862625,40.71788772412056,517.266227722168,607
Castellammare di Stabia,150,14.481178131237645,40.71730393090237,314.29021644592285,607
Castellammare di Stabia,150,14.513696758918107,40.692763388639534,586.9086971282959,607
Castellammare di Stabia,150,14.493945299823137,40.68869711673723,584.9796257019043,607
Castellammare di Stabia,150,14.48321457686092,40.72289774373349,348.84068870544434,607
