City_Name,K_Resolution,Centroid_Longitude,Centroid_Latitude,Aggregated_Population,Population_Center_ID
Firenze,675,11.228570040293139,43.8080566552204,495.0214958190918,339
Firenze,675,11.279542639316212,43.76605173346154,708.8624629974365,339
Firenze,675,11.175388049100063,43.79095899013661,307.35987091064453,339
Firenze,675,11.23187329133534,43.77021835498468,294.6156883239746,339
Firenze,675,11.292257546729791,43.77681899939581,771.2119522094727,339
Firenze,675,11.199795351054373,43.75345714044451,239.5107593536377,339
Firenze,675,11.238954916808568,43.77454585503988,508.7933597564697,339
Firenze,675,11.206936137755845,43.774159744093986,569.637939453125,339
Firenze,675,11.222079815847199,43.80755410006089,308.103235244751,339
Firenze,675,11.243694422006225,43.78115965580371,705.4741821289062,339
Firenze,675,11.270498001651823,43.791554148441016,535.5801830291748,339
Firenze,675,11.298926078281134,43.769096328500375,574.3075847625732,339
Firenze,675,11.20069926518625,43.77222347976777,589.7639198303223,339
Firenze,675,11.26349639242643,43.78504442863029,637.0713043212891,339
Firenze,675,11.170121617446945,43.76577204646855,834.9700012207031,339
Firenze,675,11.22002603910172,43.78775899625029,560.6915454864502,339
Firenze,675,11.291598315833605,43.77232935880001,606.6324787139893,339
Firenze,675,11.255003786907222,43.780646033345754,742.9853439331055,339
Firenze,675,11.176698302505676,43.7513985373174,377.2241325378418,339
Firenze,675,11.253185031595335,43.76595356709434,343.76546478271484,339
Firenze,675,11.24044315792044,43.79400035680396,697.6613388061523,339
Firenze,675,11.18738364948936,43.80225676830952,317.7881908416748,339
Firenze,675,11.200873912639839,43.794193809394734,330.3716278076172,339
Firenze,675,11.191015430145075,43.766324904869464,405.4714603424072,339
Firenze,675,11.295811216449435,43.752341483361356,422.6895809173584,339
Firenze,675,11.214853993264475,43.79125584075464,690.0023612976074,339
Firenze,675,11.272034192136314,43.76675143988143,754.224983215332,339
Firenze,675,11.249778660026015,43.794657288614665,643.659294128418,339
Firenze,675,11.168869981435332,43.78091128524915,217.74953842163086,339
Firenze,675,11.178376204633357,43.76313366110484,599.1214733123779,339
