City_Name,K_Resolution,Centroid_Longitude,Centroid_Latitude,Aggregated_Population,Population_Center_ID
Bolzano - Bozen,150,11.330093155373609,46.473224563693414,412.6355743408203,4
Bolzano - Bozen,150,11.351399120228704,46.49519808701637,376.837703704834,4
Bolzano - Bozen,150,11.334256397169433,46.48930484721546,566.8541374206543,4
Bolzano - Bozen,150,11.35360166877536,46.50110956970297,496.52965545654297,4
Bolzano - Bozen,150,11.31992632841021,46.49411722821823,522.756046295166,4
Bolzano - Bozen,150,11.365131555676586,46.49902507827113,719.0708618164062,4
Bolzano - Bozen,150,11.327597221152935,46.487278668699645,591.2995147705078,4
Bolzano - Bozen,150,11.34805051030078,46.48550829658315,235.11352157592773,4
Bolzano - Bozen,150,11.327151307855793,46.49525269895673,408.1928024291992,4
Bolzano - Bozen,150,11.342338227177843,46.49710063476553,706.8762130737305,4
Bolzano - Bozen,150,11.358829832852148,46.501238776661914,617.0437850952148,4
Bolzano - Bozen,150,11.336250035971752,46.495000855850726,428.400634765625,4
Bolzano - Bozen,150,11.333366457437757,46.48086522364524,361.9908332824707,4
Bolzano - Bozen,150,11.314436383031422,46.47029266431992,119.13805770874023,4
Bolzano - Bozen,150,11.343192943303396,46.486489636796584,661.961067199707,4
Bolzano - Bozen,150,11.31662799336937,46.482876153541454,437.00796127319336,4
Bolzano - Bozen,150,11.331240646856083,46.49094340919299,950.9825897216797,4
Bolzano - Bozen,150,11.322008425262608,46.47666316682957,426.89888763427734,4
Bolzano - Bozen,150,11.34559996831839,46.50532388560212,668.543384552002,4
Bolzano - Bozen,150,11.34273212099454,46.49104597267412,658.4868545532227,4
Bolzano - Bozen,150,11.32045276975153,46.47280519388861,531.5614852905273,4
Bolzano - Bozen,150,11.334920788069034,46.501910149575735,719.2068786621094,4
Bolzano - Bozen,150,11.33400753415448,46.47881495397219,265.43603515625,4
Bolzano - Bozen,150,11.319173812197445,46.48333143869012,597.8373069763184,4
Bolzano - Bozen,150,11.329995784877836,46.49592977243007,607.6341094970703,4
Bolzano - Bozen,150,11.330206669427646,46.502132740405955,561.0369033813477,4
Bolzano - Bozen,150,11.330513468882705,46.48348110452533,346.82712173461914,4
Bolzano - Bozen,150,11.33344870682854,46.470114427710726,417.9627265930176,4
Bolzano - Bozen,150,11.325655373141108,46.468738952642035,573.0476341247559,4
Bolzano - Bozen,150,11.343386754723864,46.502909676105105,782.9746513366699,4
Bolzano - Bozen,150,11.340335724712224,46.48115604038768,534.3807106018066,4
Bolzano - Bozen,150,11.323460051533598,46.486811111375424,387.82495498657227,4
Bolzano - Bozen,150,11.326254530933747,46.47542834549515,453.2278709411621,4
Bolzano - Bozen,150,11.320394765950931,46.49113744511645,741.043342590332,4
Bolzano - Bozen,150,11.33833992386017,46.49499485715587,638.3481597900391,4
Bolzano - Bozen,150,11.313178387541603,46.49094463179287,429.0442123413086,4
Bolzano - Bozen,150,11.344861959801037,46.49311027717947,601.1727180480957,4
Bolzano - Bozen,150,11.344073384465702,46.483389323368634,397.9380798339844,4
Bolzano - Bozen,150,11.338455578395857,46.50618391780962,407.4275779724121,4
Bolzano - Bozen,150,11.324936633494003,46.48028888049822,393.9702491760254,4
Bolzano - Bozen,150,11.353332567919997,46.505416811234774,74.62210845947266,4
Bolzano - Bozen,150,11.332552817164569,46.47615111380622,428.4856643676758,4
Bolzano - Bozen,150,11.356316668464954,46.49962791244964,660.0069694519043,4
Bolzano - Bozen,150,11.340714756738556,46.50040582996023,942.1589584350586,4
Bolzano - Bozen,150,11.35613365554093,46.50254138489024,437.2346534729004,4
Bolzano - Bozen,150,11.31825046752299,46.480988293711405,473.1951141357422,4
Bolzano - Bozen,150,11.33406962856806,46.47289071456452,540.0448112487793,4
