City_Name,K_Resolution,Centroid_Longitude,Centroid_Latitude,Aggregated_Population,Population_Center_ID
Reggio di Calabria,100,15.640446650997996,38.09834295826579,546.6490173339844,716
Reggio di Calabria,100,15.663632905501649,38.108279349665324,723.118106842041,716
Reggio di Calabria,100,15.653461024010396,38.0888765827672,529.7605171203613,716
Reggio di Calabria,100,15.656182729488592,38.112712199884385,630.0036659240723,716
Reggio di Calabria,100,15.651019350476757,38.118400122932286,399.12370681762695,716
Reggio di Calabria,100,15.653078416815191,38.11219902080883,674.4656524658203,716
Reggio di Calabria,100,15.645732230593667,38.08492036329219,397.4251518249512,716
Reggio di Calabria,100,15.64772577154074,38.09959869603106,755.3665542602539,716
Reggio di Calabria,100,15.645331703631609,38.10864089178555,612.256706237793,716
Reggio di Calabria,100,15.661451856578271,38.11740657957998,687.0263404846191,716
Reggio di Calabria,100,15.647943467591064,38.104375498142495,510.97744369506836,716
Reggio di Calabria,100,15.655627885469986,38.1019306127201,673.236442565918,716
Reggio di Calabria,100,15.645137932015485,38.090094911954495,530.4883003234863,716
Reggio di Calabria,100,15.646722857294982,38.094184457432114,655.2204742431641,716
Reggio di Calabria,100,15.635846986498024,38.0854251734078,562.9324684143066,716
Reggio di Calabria,100,15.65324366424752,38.10693176291305,512.1585578918457,716
Reggio di Calabria,100,15.640169321938188,38.10539631730726,461.83706283569336,716
Reggio di Calabria,100,15.637416551564193,38.097678599912676,514.7691078186035,716
Reggio di Calabria,100,15.641903866618687,38.09055156917953,689.8150215148926,716
Reggio di Calabria,100,15.644015411687796,38.09515646500169,641.5793113708496,716
Reggio di Calabria,100,15.645587099084592,38.097752040295674,586.2703590393066,716
Reggio di Calabria,100,15.650496445479707,38.094687762761644,730.6264266967773,716
Reggio di Calabria,100,15.657527525781001,38.105649154328866,631.200511932373,716
Reggio di Calabria,100,15.65649206361235,38.09394933441102,537.9910163879395,716
Reggio di Calabria,100,15.657324105827593,38.10831208609035,558.9863014221191,716
Reggio di Calabria,100,15.653644772561154,38.094687724829214,668.1566390991211,716
Reggio di Calabria,100,15.6602350393457,38.1230293362242,261.3311576843262,716
Reggio di Calabria,100,15.650943496717002,38.089973770866166,407.383056640625,716
Reggio di Calabria,100,15.665814393080291,38.11266196024426,515.8452224731445,716
Reggio di Calabria,100,15.647959381217731,38.0963850441672,632.3851928710938,716
Reggio di Calabria,100,15.657941315353906,38.110809544247346,527.5466690063477,716
Reggio di Calabria,100,15.658484269862667,38.10272169822622,624.3161010742188,716
Reggio di Calabria,100,15.636094564095515,38.08876658539083,676.6431465148926,716
Reggio di Calabria,100,15.659043103350939,38.1242559304309,358.49266815185547,716
Reggio di Calabria,100,15.652359805103552,38.09212996238552,699.3414154052734,716
Reggio di Calabria,100,15.636078404366424,38.10104451078167,511.05355072021484,716
Reggio di Calabria,100,15.639278788545516,38.0880782999086,667.1337890625,716
Reggio di Calabria,100,15.657770680636853,38.121418358331994,500.28551864624023,716
Reggio di Calabria,100,15.653484173501928,38.121672066338036,253.03964614868164,716
Reggio di Calabria,100,15.652358958581138,38.10105403253973,777.312858581543,716
Reggio di Calabria,100,15.648306960613,38.08501499124717,415.3903694152832,716
Reggio di Calabria,100,15.648559300449007,38.11143361420934,481.0709800720215,716
Reggio di Calabria,100,15.641409052384374,38.09327158428291,607.8759841918945,716
Reggio di Calabria,100,15.656875299343907,38.118498982246344,656.3551902770996,716
Reggio di Calabria,100,15.651154120633306,38.11575335408932,510.89980697631836,716
Reggio di Calabria,100,15.65824399125068,38.11524479234401,580.7901191711426,716
Reggio di Calabria,100,15.664416757147384,38.115358053015385,716.6438369750977,716
Reggio di Calabria,100,15.63542574719206,38.09792958612627,394.5414276123047,716
Reggio di Calabria,100,15.654008803282554,38.10374411136713,701.2783203125,716
Reggio di Calabria,100,15.660245815564908,38.10878711052485,531.1325874328613,716
Reggio di Calabria,100,15.662241060759172,38.11260015060922,452.8483543395996,716
