City_Name,K_Resolution,Centroid_Longitude,Centroid_Latitude,Aggregated_Population,Population_Center_ID
Monza,400,9.256593923,45.59098483,413.0464592,79
Monza,400,9.223128723,45.5597298,321.4894848,79
Monza,400,9.304518977,45.57762284,531.1845551,79
Monza,400,9.242059437,45.62208746,456.9820995,79
Monza,400,9.235871889,45.57720644,375.2781811,79
Monza,400,9.222494242,45.59571727,317.1545067,79
Monza,400,9.24339467,45.59964972,462.9173698,79
Monza,400,9.270287165,45.55959027,289.3483982,79
Monza,400,9.284582513,45.57799777,528.5511265,79
Monza,400,9.30767014,45.55160675,361.1308594,79
Monza,400,9.23553795,45.55190135,735.1676693,79
Monza,400,9.269055918,45.62392395,458.9364338,79
Monza,400,9.259408939,45.60299492,255.2585659,79
Monza,400,9.303131627,45.60805872,415.3228168,79
Monza,400,9.293181003,45.59165201,280.9522324,79
Monza,400,9.258798552,45.57183596,803.5519714,79
Monza,400,9.233505059,45.59012436,734.1429596,79
Monza,400,9.285585941,45.5519692,382.4316711,79
Monza,400,9.267833856,45.58709123,902.8575878,79
Monza,400,9.272704033,45.60928416,314.0009117,79
Monza,400,9.260854115,45.55305246,617.4333515,79
Monza,400,9.257991248,45.61191231,545.7927361,79
Monza,400,9.254118272,45.6015733,389.8838024,79
Monza,400,9.226293832,45.57950397,617.9956608,79
Monza,400,9.298326656,45.55697581,418.900322,79
Monza,400,9.288185428,45.57014808,409.2637463,79
Monza,400,9.282293951,45.57194842,613.7822571,79
Monza,400,9.231419845,45.60569758,643.4901791,79
Monza,400,9.238903288,45.61269793,714.6613731,79
Monza,400,9.229178469,45.62281571,477.4214096,79
Monza,400,9.297908051,45.58244412,479.9382954,79
Monza,400,9.271124922,45.57892153,953.1112862,79
Monza,400,9.30503758,45.58665173,402.7085342,79
Monza,400,9.226660042,45.5859529,401.1151543,79
Monza,400,9.23756113,45.56926172,252.6857891,79
Monza,400,9.24541904,45.60809733,801.899437,79
Monza,400,9.300919503,45.58668431,388.8111763,79
Monza,400,9.250954523,45.57177815,437.2936821,79
Monza,400,9.294190379,45.59416801,191.8870125,79
Monza,400,9.218694911,45.61824791,259.3575611,79
Monza,400,9.307044263,45.58250015,57.50858116,79
Monza,400,9.247213073,45.55083349,132.0402222,79
Monza,400,9.229039883,45.59765788,497.4749756,79
Monza,400,9.255395438,45.58395681,535.0641327,79
Monza,400,9.25470415,45.6110041,592.3159733,79
Monza,400,9.253885584,45.55565618,636.3082447,79
Monza,400,9.296189243,45.55417501,651.0557556,79
Monza,400,9.219031603,45.62132507,352.0609856,79
Monza,400,9.239834811,45.59297532,622.396286,79
Monza,400,9.229026374,45.59181882,666.3796959,79
Monza,400,9.285290498,45.56946696,671.6334019,79
Monza,400,9.283333015,45.58529017,651.4159241,79
Monza,400,9.260277118,45.58006149,764.8119621,79
Monza,400,9.304959665,45.56794757,452.6280136,79
Monza,400,9.265134673,45.57461668,693.1667061,79
Monza,400,9.250909529,45.59285816,486.2902012,79
Monza,400,9.251040195,45.57996981,749.0257359,79
Monza,400,9.267256954,45.59712431,623.5808659,79
Monza,400,9.265129694,45.5840198,1084.461218,79
Monza,400,9.235001662,45.6013724,488.6192017,79
Monza,400,9.232369319,45.55871165,483.5660782,79
Monza,400,9.285667241,45.58012648,852.736351,79
Monza,400,9.260489403,45.59626969,641.4391518,79
Monza,400,9.266158571,45.60376,569.8271141,79
Monza,400,9.226169361,45.55579087,649.7894535,79
Monza,400,9.240077797,45.56155401,281.3563461,79
Monza,400,9.30758022,45.60422387,575.8639336,79
Monza,400,9.271279631,45.58493011,615.4345169,79
Monza,400,9.268794642,45.58372597,785.8736038,79
Monza,400,9.218700125,45.56602988,498.3115654,79
Monza,400,9.266772263,45.56735919,309.6031647,79
Monza,400,9.222979755,45.58649309,384.0660667,79
Monza,400,9.301555546,45.55353092,459.6851959,79
Monza,400,9.306631915,45.61447342,377.1726685,79
Monza,400,9.219019111,45.56311843,577.3102627,79
Monza,400,9.268944013,45.61346409,507.2522469,79
Monza,400,9.288403932,45.5862165,455.6587143,79
Monza,400,9.29346115,45.55407622,432.037468,79
Monza,400,9.221039391,45.55194644,765.8628807,79
Monza,400,9.298021285,45.59863589,208.6977901,79
Monza,400,9.247761192,45.61471486,555.8697453,79
Monza,400,9.276406729,45.58300596,728.5964432,79
Monza,400,9.234978644,45.55579538,378.7054691,79
Monza,400,9.243318855,45.56988613,699.1479359,79
Monza,400,9.289501508,45.57646408,453.4342003,79
Monza,400,9.255552027,45.5803798,695.0354691,79
Monza,400,9.234357863,45.62376252,537.7877522,79
Monza,400,9.257309641,45.6044806,220.2762604,79
Monza,400,9.228244693,45.61203864,497.8089657,79
Monza,400,9.224927103,45.55407363,689.6276932,79
Monza,400,9.301176992,45.57548326,654.7558498,79
Monza,400,9.30758198,45.55418945,282.5427513,79
Monza,400,9.235179853,45.55995625,268.4759121,79
Monza,400,9.228497109,45.55150991,525.398262,79
Monza,400,9.307639085,45.60881947,301.7559319,79
Monza,400,9.302207735,45.58000224,834.3450298,79
Monza,400,9.271288781,45.58778173,751.567791,79
Monza,400,9.23381146,45.61061947,660.3862457,79
Monza,400,9.2407005,45.60156312,457.757164,79
Monza,400,9.258816165,45.56072009,420.7598267,79
Monza,400,9.261294879,45.59370186,651.9259014,79
Monza,400,9.281017503,45.57579484,710.8387737,79
Monza,400,9.254505857,45.59269909,502.6988945,79
Monza,400,9.300427089,45.60228185,508.215641,79
Monza,400,9.248206324,45.61746555,517.1035576,79
Monza,400,9.221980542,45.59055593,565.710989,79
Monza,400,9.243663073,45.62404144,244.2281265,79
Monza,400,9.28844828,45.56700531,203.946949,79
Monza,400,9.270173838,45.59089898,451.1361771,79
Monza,400,9.285443522,45.58263537,711.9803123,79
Monza,400,9.277447285,45.58883171,238.3046303,79
Monza,400,9.241433465,45.60793421,890.0229683,79
Monza,400,9.294689783,45.57545472,592.1810379,79
Monza,400,9.252322267,45.57621538,675.4031639,79
Monza,400,9.258115465,45.59416663,742.3771095,79
Monza,400,9.303955612,45.55443541,425.1304874,79
Monza,400,9.308500411,45.61343317,250.837225,79
Monza,400,9.262784028,45.58644152,819.9570923,79
Monza,400,9.266568156,45.56274785,509.9316711,79
Monza,400,9.254536172,45.59879733,765.4475784,79
Monza,400,9.266571285,45.60015571,423.7863178,79
Monza,400,9.270993124,45.61528951,379.0426807,79
Monza,400,9.267967619,45.60784992,483.3594589,79
Monza,400,9.220932238,45.62050235,296.3493595,79
Monza,400,9.306719288,45.61182569,302.2504673,79
Monza,400,9.241911235,45.61831862,863.2224846,79
Monza,400,9.222418881,45.59886224,402.4740734,79
Monza,400,9.243934602,45.57732611,468.278511,79
Monza,400,9.235293916,45.56611389,363.1377277,79
Monza,400,9.240192153,45.55356596,404.0275421,79
Monza,400,9.220673454,45.56432721,405.2979603,79
Monza,400,9.300824036,45.56848649,145.2575741,79
Monza,400,9.28495555,45.58955232,556.5496082,79
Monza,400,9.299337156,45.55205632,688.3816795,79
Monza,400,9.307740817,45.56961884,237.1273918,79
Monza,400,9.302678178,45.58398884,642.9875126,79
Monza,400,9.254652457,45.60579271,349.5645275,79
Monza,400,9.305404536,45.5794381,612.2798004,79
Monza,400,9.234337936,45.6138325,829.6922684,79
Monza,400,9.231255474,45.61178545,550.1345539,79
Monza,400,9.273035502,45.62163043,333.3245182,79
Monza,400,9.219185039,45.59554945,228.7828751,79
Monza,400,9.238352009,45.5899999,218.7015877,79
Monza,400,9.291570341,45.58301024,538.2226009,79
Monza,400,9.288918201,45.58872346,414.2148838,79
Monza,400,9.259245876,45.57506722,524.4602966,79
Monza,400,9.232200904,45.62060734,700.0910664,79
Monza,400,9.260855754,45.55598711,334.2088814,79
Monza,400,9.256255363,45.57491022,731.5333557,79
Monza,400,9.239220636,45.62370876,680.8444023,79
Monza,400,9.252973162,45.60783839,622.044672,79
Monza,400,9.246664951,45.55499868,131.3295422,79
Monza,400,9.237528553,45.56018281,333.6404552,79
Monza,400,9.249092977,45.60383471,706.9436569,79
Monza,400,9.244477154,45.5725037,625.1973877,79
Monza,400,9.243522309,45.60602938,566.0894756,79
Monza,400,9.226134597,45.57475463,564.3382645,79
Monza,400,9.298948674,45.56640947,194.5930176,79
Monza,400,9.303499016,45.60412174,499.462431,79
Monza,400,9.225255712,45.5906729,611.2769947,79
Monza,400,9.253969674,45.57809764,703.2625656,79
Monza,400,9.241654098,45.5728094,398.4141331,79
Monza,400,9.308561508,45.57209248,481.0184631,79
Monza,400,9.226330988,45.59300449,578.7042084,79
Monza,400,9.236989723,45.60994416,969.2986412,79
Monza,400,9.261844484,45.57040341,812.9167004,79
Monza,400,9.266149137,45.58952827,808.7087021,79
Monza,400,9.243689917,45.61110914,912.8871307,79
Monza,400,9.253836332,45.57388588,642.8619194,79
Monza,400,9.264834479,45.59423346,836.8009949,79
Monza,400,9.266945432,45.61115349,475.6200199,79
Monza,400,9.248374489,45.59288277,328.4621563,79
Monza,400,9.234851149,45.60462952,617.8509884,79
Monza,400,9.305324072,45.61016676,389.8296585,79
Monza,400,9.238904888,45.61791286,725.8396225,79
Monza,400,9.245230358,45.60362632,584.8645477,79
Monza,400,9.283755927,45.55669549,211.6555634,79
Monza,400,9.306127759,45.55616081,373.3793373,79
Monza,400,9.237527378,45.6153113,803.8553448,79
Monza,400,9.268080316,45.59350686,730.0612907,79
Monza,400,9.238293334,45.60663032,1017.577679,79
Monza,400,9.268672677,45.56444282,444.158041,79
Monza,400,9.232610008,45.60255979,462.3450146,79
Monza,400,9.239590797,45.56664992,403.2063236,79
Monza,400,9.304396178,45.5650657,376.0908356,79
Monza,400,9.252590969,45.59658102,545.3847713,79
Monza,400,9.233551029,45.59415181,611.8743515,79
Monza,400,9.297944503,45.58602296,289.2674389,79
Monza,400,9.260317816,45.55851641,300.4526997,79
Monza,400,9.252709905,45.58226285,702.826725,79
Monza,400,9.218638648,45.61205944,156.5883045,79
Monza,400,9.257451761,45.57794252,814.8630371,79
Monza,400,9.248680632,45.56833592,489.8326683,79
Monza,400,9.232991611,45.56733383,469.4228897,79
Monza,400,9.220027973,45.55715445,672.9978676,79
Monza,400,9.263322185,45.55276232,597.8620834,79
Monza,400,9.299866687,45.58880722,418.911211,79
Monza,400,9.222538048,45.55746357,696.6318855,79
Monza,400,9.227985028,45.59511535,574.8125877,79
Monza,400,9.240358634,45.61049748,766.7009735,79
Monza,400,9.224718497,45.60110329,82.48871803,79
Monza,400,9.222228143,45.56279736,414.080204,79
Monza,400,9.263704353,45.56258089,494.5869942,79
Monza,400,9.300177426,45.56716186,236.771656,79
