iteration,score,best,time,k_remove,destroy_mode
1,418.6805400128518,418.6805400128518,69.89340159995481,4,area
2,415.06142429461937,418.6805400128518,98.42329479986802,5,area
3,432.77861405996254,432.77861405996254,377.9417453999631,6,area
4,431.47749214770954,432.77861405996254,560.1396261998452,3,area
5,435.7406931606814,435.7406931606814,656.3032368998975,6,area
6,422.6232958061697,435.7406931606814,694.0464116998482,6,area
7,424.5023384312537,435.7406931606814,811.6527954998892,6,area
8,434.53198813010886,435.7406931606814,1118.3820849000476,4,area
9,431.3918036002145,435.7406931606814,1328.083429099992,5,area
10,435.16231887205936,435.7406931606814,1752.5586349999066,3,area
11,426.94147746480274,435.7406931606814,1784.527027099859,6,area
12,431.4321874207083,435.7406931606814,1886.4653145999182,3,area
13,425.8349288075374,435.7406931606814,1906.1480610000435,5,area
14,430.71173289882694,435.7406931606814,2018.7415012000129,6,area
15,429.39588939927864,435.7406931606814,2129.037441099994,4,area
16,434.70145107731054,435.7406931606814,2219.6734167998657,5,area
17,429.3948618844725,435.7406931606814,2244.1596118998714,4,area
18,428.0594599736506,435.7406931606814,2312.69232859998,5,area
19,434.37607544556755,435.7406931606814,2446.879381999839,3,area
20,424.1804930555977,435.7406931606814,2469.0865880998317,5,area
21,427.89953817514674,435.7406931606814,2512.867065399885,6,area
22,421.9557030929045,435.7406931606814,2552.103197999997,6,area
23,423.7276855683913,435.7406931606814,2566.216786999954,6,area
24,437.2670673596802,437.2670673596802,2910.662839700002,3,area
25,427.41922068397184,437.2670673596802,2917.243388300063,3,area
26,431.9908468724528,437.2670673596802,3208.721575199859,3,area
27,428.9167878864903,437.2670673596802,3244.460678400006,5,area
28,424.9471116044291,437.2670673596802,3287.561196999857,6,area
29,437.2670673596802,437.2670673596802,3531.3178954999894,4,area
30,422.0672293054985,437.2670673596802,3560.984902899945,5,area
31,435.38319070462074,437.2670673596802,3641.115835999837,3,area
32,430.57791282436546,437.2670673596802,3654.6384785999544,6,area
33,428.2975047132296,437.2670673596802,3712.338253899943,5,area
34,399.7984433630931,437.2670673596802,3716.0054539998528,5,area
35,425.37894186111464,437.2670673596802,3758.875491600018,4,area
36,433.97249403141666,437.2670673596802,4005.8462318999227,6,area
