station,status,load_exact,load_best,load_diff_best_minus_exact
54,common,32.67130661435703,33.314299641497456,0.6429930271404274
17,only_exact,34.28571428571429,0.0,-34.28571428571429
77,only_exact,34.28571428571429,0.0,-34.28571428571429
47,only_exact,34.285714285714285,0.0,-34.285714285714285
21,only_exact,33.922256215739964,0.0,-33.922256215739964
24,only_exact,33.52185239638415,0.0,-33.52185239638415
27,only_exact,32.39301423053228,0.0,-32.39301423053228
37,only_best,0.0,34.05954860650701,34.05954860650701
48,only_best,0.0,33.93573817425079,33.93573817425079
69,only_best,0.0,33.86242387969244,33.86242387969244
56,only_best,0.0,33.57810230009346,33.57810230009346
67,only_best,0.0,33.481107143388165,33.481107143388165
7,only_best,0.0,33.348718647464004,33.348718647464004
