         166941999 function calls (164617338 primitive calls) in 61.588 seconds

   Ordered by: cumulative time
   List reduced from 854 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   812987    0.289    0.000    0.289    0.000 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:377(<lambda>)
  1765232    0.269    0.000    0.269    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py:1087(_apply_operation)
  1766308    0.212    0.000    0.212    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py:731(args)
    13747    0.023    0.000    0.207    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py:47(_deepcopy_list)
  1782115    0.171    0.000    0.171    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\base.py:339(is_expression_type)
  1781312    0.162    0.000    0.162    0.000 {built-in method builtins.hasattr}
  1765272    0.141    0.000    0.141    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\pyomoobject.py:39(is_expression_type)
    76051    0.068    0.000    0.140    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py:413(__getstate__)
  1765700    0.126    0.000    0.126    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py:727(nargs)
  1765259    0.124    0.000    0.124    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py:249(is_numeric_type)
  1782061    0.122    0.000    0.122    0.000 {method 'pop' of 'list' objects}
    76051    0.099    0.000    0.114    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py:445(__setstate__)
        1    0.000    0.000    0.082    0.082 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\solve.py:6(solve_model)
        1    0.000    0.000    0.081    0.081 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\solvers\highs.py:283(solve)
2006/1062    0.017    0.000    0.073    0.000 c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\autoslots.py:56(_deepcopy_dict)
       59    0.000    0.000    0.070    0.001 C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py:679(reconstruction_greedy)


