iteration,score,best,time,k_remove,destroy_mode
1,233.08103637939752,233.08103637939752,37.663249199977145,3,area
2,235.57993839289335,235.57993839289335,71.850707200123,4,area
3,232.21420958568802,235.57993839289335,105.32134040002711,3,area
4,219.97468027632155,235.57993839289335,137.65104050002992,4,area
5,232.59922165046953,235.57993839289335,163.95706699998118,4,area
6,223.24816879592575,235.57993839289335,201.6919956000056,2,area
7,235.41520766496038,235.57993839289335,234.2909546000883,3,area
8,232.65524744220127,235.57993839289335,268.8173074000515,4,area
9,231.3415512183352,235.57993839289335,298.6007421000395,2,area
10,228.29093197981823,235.57993839289335,335.6174568000715,3,area
11,234.51128161489663,235.57993839289335,391.1920088001061,2,area
12,234.72930114426245,235.57993839289335,419.8502841000445,2,area
13,232.35564632907943,235.57993839289335,447.9797924000304,2,area
14,231.80162916901335,235.57993839289335,483.18722770013846,3,area
15,232.60137393437296,235.57993839289335,515.36137649999,4,area
16,234.51128161489663,235.57993839289335,551.1379553000443,3,area
17,229.02463261191153,235.57993839289335,578.8960440000519,2,area
18,234.51128161489663,235.57993839289335,616.2182701001875,3,area
19,231.1538742140368,235.57993839289335,646.8664277000353,4,area
20,230.89445260604782,235.57993839289335,677.5324174000416,3,area
21,232.60137393437296,235.57993839289335,706.5182380999904,4,area
22,234.80215794230986,235.57993839289335,737.0363311001565,3,area
23,233.52420998666094,235.57993839289335,788.24780810019,4,area
24,231.3415512183352,235.57993839289335,829.3948103999719,3,area
25,230.96515606969498,235.57993839289335,863.8289322000928,3,area
26,233.83757496473683,235.57993839289335,891.1538085001521,4,area
27,235.57993839289335,235.57993839289335,938.5406641999725,2,area
