iteration,time,mode,k_remove,current,after_destroy,score_try,proxy_try,proxy_curr,proxy_best,did_full_eval,score_try_full,best_full,accepted,improved_curr,proxy_improved_best,improved_best_full,batch_size,top_k_full
0,0.0,init,0.0,729.3359222412108,,,,729.3359222412108,729.3359222412108,True,776.2269744873047,776.2269744873047,True,True,True,True,1,1
1,61.3870081,area_destroy,5.0,2412.080577850342,,2706.9847412109375,2706.9847412109375,2412.080577850342,2706.9847412109375,True,2026.0094242095947,2026.0094242095947,True,True,True,True,50,5
2,112.19118669999989,local_remove,4.0,2673.3689346313477,,2673.3689346313477,2673.3689346313477,2673.3689346313477,2706.9847412109375,True,2026.0094242095947,2026.0094242095947,True,False,False,False,50,5
3,161.7253154,site_swap,0.0,2963.4723510742188,,2963.4723510742188,2963.4723510742188,2963.4723510742188,2963.4723510742188,True,2026.0094242095947,2026.0094242095947,True,False,True,False,50,5
4,216.85688089999985,area_destroy,20.0,3253.57576751709,,3253.57576751709,3253.57576751709,3253.57576751709,3253.57576751709,True,2026.0094242095947,2026.0094242095947,True,False,True,False,50,5
5,273.9505836999999,local_remove,5.0,3471.9559116363525,,3471.9559116363525,3471.9559116363525,3471.9559116363525,3471.9559116363525,True,2026.0094242095947,2026.0094242095947,True,False,True,False,50,5
6,326.70640849999995,local_remove,1.0,3862.4022274017334,,3862.4022274017334,3862.4022274017334,3862.4022274017334,3862.4022274017334,True,2026.0094242095947,2026.0094242095947,True,False,True,False,50,5
