N,seed,policy,restart_id,greedy_score,LS_score,time_LS_restart
20,1,uniform,0,13.433141625801431,17.51523708557182,1.0193308999296278
20,1,uniform,1,13.804077131423849,17.51523708557182,1.2642448000842705
20,1,uniform,2,11.48105770768114,17.51523708557182,0.9720474000787362
20,1,uniform,3,13.466227048818713,17.51523708557182,1.0635377999860793
20,1,uniform,4,11.84813972262397,17.51523708557182,0.9087315000360832
