iter,score,best,improved
0,39.074873973934885,39.074873973934885,1
1,44.51913214227959,44.51913214227959,1
2,45.927464787964965,45.927464787964965,1
3,45.927464787964965,45.927464787964965,0
4,44.51913214227959,45.927464787964965,0
5,45.927464787964965,45.927464787964965,0
6,45.927464787964965,45.927464787964965,0
7,44.51913214227959,45.927464787964965,0
8,44.51913214227959,45.927464787964965,0
9,45.927464787964965,45.927464787964965,0
10,45.927464787964965,45.927464787964965,0
11,45.927464787964965,45.927464787964965,0
12,45.927464787964965,45.927464787964965,0
13,45.927464787964965,45.927464787964965,0
14,44.51913214227959,45.927464787964965,0
15,42.524553397283135,45.927464787964965,0
16,44.51913214227959,45.927464787964965,0
17,45.927464787964965,45.927464787964965,0
18,45.927464787964965,45.927464787964965,0
19,45.927464787964965,45.927464787964965,0
20,45.927464787964965,45.927464787964965,0
21,42.524553397283135,45.927464787964965,0
22,44.51913214227959,45.927464787964965,0
23,45.927464787964965,45.927464787964965,0
24,45.927464787964965,45.927464787964965,0
25,44.51913214227959,45.927464787964965,0
26,44.51913214227959,45.927464787964965,0
27,45.927464787964965,45.927464787964965,0
28,45.927464787964965,45.927464787964965,0
29,45.927464787964965,45.927464787964965,0
30,44.51913214227959,45.927464787964965,0
31,44.51913214227959,45.927464787964965,0
32,45.927464787964965,45.927464787964965,0
33,45.927464787964965,45.927464787964965,0
34,44.51913214227959,45.927464787964965,0
35,44.51913214227959,45.927464787964965,0
