policy,score_exact,time_exact,score_greedy,score_LS,time_LS,score_SA,time_SA,optimal_exact,moves_init,moves_open_close,N,seed
closest_only,60.0,0.07793729996774346,41.88004477564054,55.343494174008896,1.6098260000580922,55.343494174008896,0.24494239990599453,True,2,4,20,1
closest_priority,59.99153842497287,0.04374320001807064,31.948596880825225,52.023757403664916,1.755623499979265,55.33000347245997,0.27746879996266216,True,2,5,20,1
system_optimum,57.47153427846642,0.05250190000515431,31.046019909269127,52.29442401911617,1.7851448999717832,52.29442401911617,0.25919979996979237,True,2,7,20,1
uniform,17.51523708557182,0.022729599964804947,14.856023543570755,17.51523708557182,2.262448199908249,17.51523708557182,0.24399900005664676,True,2,7,20,1
