iteration,score,best,time,k_remove,destroy_mode
1,395.0124849858797,395.0124849858797,61.245080300141126,9,demand_high
2,376.9840394846533,395.0124849858797,130.1382905000355,5,demand_high
3,395.4360692658895,395.4360692658895,202.35896530002356,8,demand_high
4,396.83673186530297,396.83673186530297,272.98904150002636,6,demand_high
5,396.83673186530297,396.83673186530297,335.46181370015256,8,demand_high
6,394.0611403457789,396.83673186530297,381.77029150002636,4,demand_high
7,387.77670397259186,396.83673186530297,431.7306784000248,8,demand_high
8,396.83673186530297,396.83673186530297,498.26321120001376,6,demand_high
9,394.52455988584444,396.83673186530297,570.1387055001687,8,demand_high
10,396.48407788121125,396.83673186530297,648.4719144999981,5,demand_high
11,391.76083697477884,396.83673186530297,723.4299125000834,7,demand_high
12,396.3425592048471,396.83673186530297,782.7298204000108,8,demand_high
13,396.83673186530297,396.83673186530297,851.0858249000739,6,demand_high
14,391.0855600314643,396.83673186530297,917.9648421001621,9,demand_high
15,384.6072943503625,396.83673186530297,983.3877576000523,4,demand_high
16,396.3425592048471,396.83673186530297,1045.9931059000082,7,demand_high
17,399.2037597337165,399.2037597337165,1102.7472484000027,9,demand_high
18,383.3218968492194,399.2037597337165,1170.439842400141,9,demand_high
19,385.45743294840184,399.2037597337165,1230.328644900117,6,demand_high
20,394.4015928236352,399.2037597337165,1300.777422600193,6,demand_high
21,396.3425592048471,399.2037597337165,1372.3501064002048,9,demand_high
22,398.92558450401873,399.2037597337165,1432.4773888001218,8,demand_high
23,397.1653157347009,399.2037597337165,1510.5528007000685,7,demand_high
24,399.2037597337165,399.2037597337165,1586.5091823001858,8,demand_high
25,394.52455988584444,399.2037597337165,1657.6173771000467,5,demand_high
26,391.83961127548724,399.2037597337165,1732.1698057001922,8,demand_high
27,393.36057392241275,399.2037597337165,1797.353240000084,9,demand_high
28,389.411270760943,399.2037597337165,1849.8720982000232,6,demand_high
