site,load_exact,load_best,x_exact,x_best,diff_best_minus_exact
117,44.55868652169377,44.55868652169432,1,1,5.471179065352771e-13
100,41.16217835380851,41.16217835380821,1,1,-2.984279490192421e-13
13,38.074972937887914,38.07497293788772,1,1,-1.9184653865522705e-13
54,37.87401586422496,37.87401586422581,1,1,8.526512829121202e-13
36,0.0,36.11621026387185,0,1,36.11621026387185
34,0.0,35.21025563922099,0,1,35.21025563922099
67,35.200354692498095,35.200354692498,1,1,-9.237055564881302e-14
18,33.76801152173345,33.76801152173345,1,1,0.0
115,33.404395209785534,33.404395209785534,1,1,0.0
85,23.9262964142913,23.92629641429118,1,1,-1.2079226507921703e-13
144,20.89078606278496,20.89078606278496,1,1,0.0
44,19.017596251915204,19.017596251914497,1,1,-7.069900220812997e-13
9,36.11621026387343,0.0,1,0,-36.11621026387343
