site,load_exact,load_best,x_exact,x_best,diff_best_minus_exact
29,0.0,28.521844368370427,0,1,28.521844368370427
66,0.0,24.473529172028467,0,1,24.473529172028467
70,0.0,23.573858306260103,0,1,23.573858306260103
20,0.0,21.400121095081143,0,1,21.400121095081143
73,0.0,15.763749947582214,0,1,15.763749947582214
62,0.0,14.516334170963253,0,1,14.516334170963253
24,0.0,13.658267201790146,0,1,13.658267201790146
68,0.0,13.192054277746005,0,2,13.192054277746005
59,0.0,12.763130906863607,0,1,12.763130906863607
32,26.15662232257925,11.438667008987494,1,1,-14.717955313591755
21,0.0,11.145326993209133,0,2,11.145326993209133
40,0.0,11.081067586135536,0,2,11.081067586135536
43,0.0,10.196967474682701,0,1,10.196967474682701
76,0.0,8.878025943661537,0,1,8.878025943661537
37,0.0,8.642552174750474,0,1,8.642552174750474
15,0.0,6.163100119065289,0,1,6.163100119065289
25,0.0,5.519950466339987,0,1,5.519950466339987
13,0.0,2.52392615717235,0,1,2.52392615717235
9,23.155873948543345,0.0,1,0,-23.155873948543345
3,20.962681509765325,0.0,1,0,-20.962681509765325
34,25.594115444654793,0.0,1,0,-25.594115444654793
27,23.322349320022553,0.0,1,0,-23.322349320022553
41,26.63132611412846,0.0,1,0,-26.63132611412846
55,32.67130661435703,0.0,1,0,-32.67130661435703
45,5.734256152201076,0.0,1,0,-5.734256152201076
67,12.236060987987738,0.0,1,0,-12.236060987987738
71,23.68696798102482,0.0,1,0,-23.68696798102482
78,23.30091297542551,0.0,1,0,-23.30091297542551
