iteration,score,best,time,k_remove,destroy_mode
1,185.97690809156913,185.97690809156913,10.93648979999125,6,demand_high
2,183.4918221126177,185.97690809156913,14.285212500020862,5,demand_high
3,185.97690809156913,185.97690809156913,19.96917759999633,4,demand_high
4,186.3310049251581,186.3310049251581,23.863143000053242,3,demand_high
5,186.3310049251581,186.3310049251581,29.048395399935544,4,demand_high
6,186.3310049251581,186.3310049251581,34.27180329989642,4,demand_high
7,186.3310049251581,186.3310049251581,42.493697999976575,6,demand_high
8,186.3310049251581,186.3310049251581,50.70742109999992,6,demand_high
9,186.3310049251581,186.3310049251581,57.24035419989377,4,demand_high
10,186.3310049251581,186.3310049251581,66.25072059989907,5,demand_high
11,181.99698829625586,186.3310049251581,73.75946249999106,3,demand_high
12,186.3310049251581,186.3310049251581,79.84216089989059,4,demand_high
13,185.97690809156913,186.3310049251581,86.96224719984457,4,demand_high
14,181.99698829625586,186.3310049251581,93.35202550003305,5,demand_high
15,183.4918221126177,186.3310049251581,98.03950109984726,4,demand_high
16,186.3310049251581,186.3310049251581,102.98232039995492,3,demand_high
17,180.48555126682731,186.3310049251581,111.04487079987302,6,demand_high
18,185.97690809156913,186.3310049251581,116.4944110000506,5,demand_high
19,186.3310049251581,186.3310049251581,126.32434589997865,3,demand_high
20,183.4918221126177,186.3310049251581,129.95538199995644,3,demand_high
21,180.48555126682731,186.3310049251581,134.95618589990772,3,demand_high
22,186.3310049251581,186.3310049251581,141.0764752998948,5,demand_high
23,183.4918221126177,186.3310049251581,147.4860936999321,5,demand_high
24,185.97690809156913,186.3310049251581,153.8113638998475,3,demand_high
25,185.97690809156913,186.3310049251581,159.73424530006014,4,demand_high
26,186.3310049251581,186.3310049251581,166.04617609991692,3,demand_high
27,186.3310049251581,186.3310049251581,169.87725050002337,4,demand_high
28,186.3310049251581,186.3310049251581,181.8915655000601,6,demand_high
29,186.3310049251581,186.3310049251581,188.16216919990256,4,demand_high
30,186.3310049251581,186.3310049251581,193.0380390000064,4,demand_high
31,181.99698829625586,186.3310049251581,202.8915780999232,5,demand_high
32,186.3310049251581,186.3310049251581,206.77451210003346,3,demand_high
33,186.3310049251581,186.3310049251581,211.46197930001654,3,demand_high
34,186.3310049251581,186.3310049251581,216.9997238998767,5,demand_high
35,186.3310049251581,186.3310049251581,223.09321490000002,4,demand_high
36,186.3310049251581,186.3310049251581,228.27646910003386,3,demand_high
37,186.3310049251581,186.3310049251581,233.0172269998584,5,demand_high
38,181.2645543255986,186.3310049251581,239.45104620000347,6,demand_high
39,185.97690809156913,186.3310049251581,247.2097581999842,4,demand_high
40,186.3310049251581,186.3310049251581,256.2000773998443,5,demand_high
41,185.97690809156913,186.3310049251581,263.4827906000428,6,demand_high
42,180.48555126682731,186.3310049251581,273.79325430002064,5,demand_high
43,186.3310049251581,186.3310049251581,281.62329849996604,4,demand_high
44,185.97690809156913,186.3310049251581,289.5081277999561,5,demand_high
45,185.97690809156913,186.3310049251581,297.32551039988175,4,demand_high
46,186.3310049251581,186.3310049251581,305.423294399865,4,demand_high
47,186.3310049251581,186.3310049251581,310.3385458998382,3,demand_high
48,181.2645543255986,186.3310049251581,319.106273900019,5,demand_high
49,186.3310049251581,186.3310049251581,327.59756250004284,4,demand_high
50,185.97690809156913,186.3310049251581,333.3695807000622,4,demand_high
51,186.3310049251581,186.3310049251581,339.4790125999134,6,demand_high
52,181.99698829625586,186.3310049251581,345.0643096000422,5,demand_high
53,186.3310049251581,186.3310049251581,355.50044390000403,5,demand_high
54,183.4918221126177,186.3310049251581,361.17591409990564,6,demand_high
55,186.3310049251581,186.3310049251581,367.05898449989036,3,demand_high
56,185.97690809156913,186.3310049251581,379.09312890004367,5,demand_high
57,181.2645543255986,186.3310049251581,386.64252749993466,3,demand_high
58,186.3310049251581,186.3310049251581,394.306946199853,3,demand_high
59,186.3310049251581,186.3310049251581,399.93230769992806,4,demand_high
60,185.97690809156913,186.3310049251581,405.55110469996,5,demand_high
61,186.3310049251581,186.3310049251581,412.22778919991106,4,demand_high
62,185.97690809156913,186.3310049251581,422.7493536998518,6,demand_high
63,183.4918221126177,186.3310049251581,427.87251709983684,5,demand_high
64,186.3310049251581,186.3310049251581,436.21307209995575,5,demand_high
65,183.4918221126177,186.3310049251581,442.66901019983925,6,demand_high
66,186.3310049251581,186.3310049251581,448.64477219991386,3,demand_high
67,186.3310049251581,186.3310049251581,456.3724334000144,4,demand_high
68,181.99698829625586,186.3310049251581,463.1571998000145,4,demand_high
69,185.97690809156913,186.3310049251581,468.14426700002514,6,demand_high
